header,content,url
Adaptive coding,"Adaptive coding refers to variants of entropy encoding methods of lossless data compression. They are particularly suited to streaming data, as they adapt to localized changes in the characteristics of the data, and don't require a first pass over the data to calculate a probability model. The cost paid for these advantages is that the encoder and decoder must be more complex to keep their states synchronized, and more computational power is needed to keep adapting the encoder/decoder state.",https://en.wikipedia.org/wiki/Adaptive_coding
Astrostatistics,"Astrostatistics is a discipline which spans astrophysics, statistical analysis and data mining. It is used to process the vast amount of data produced by automated scanning of the cosmos, to characterize complex datasets, and to link astronomical data to astrophysical theory.  Many branches of statistics are involved in astronomical analysis including nonparametrics, multivariate regression and multivariate classification, time series analysis, and especially Bayesian inference.",https://en.wikipedia.org/wiki/Astrostatistics
Multiplicative weight update method,"The multiplicative weights update method is an algorithmic technique most commonly used for decision making and prediction, and also widely deployed in game theory and algorithm design. The simplest use case is the problem of prediction from expert advice, in which a decision maker needs to iteratively decide on an expert whose advice to follow. The method assigns initial weights to the experts (usually identical initial weights), and updates these weights multiplicatively and iteratively according to the feedback of how well an expert performed: reducing it in case of poor performance, and increasing it otherwise.  It was discovered repeatedly in very diverse fields such as machine learning (AdaBoost, Winnow, Hedge), optimization (solving linear programs), theoretical computer science (devising fast algorithm for LPs and SDPs), and game theory.",https://en.wikipedia.org/wiki/Multiplicative_Weight_Update_Method
RuleML Symposium,"The annual International Web Rule Symposium (RuleML) is an international academic conferences on research, applications, languages and standards for rule technologies. Since 2017 it is organised as International Joint Conference on Rules and Reasoning (RuleML+RR). It is a conference in the field of rule-based programming and rule-based systems including production rules systems, logic programming rule engines, and business rules engines/business rules management systems; Semantic Web rule languages and rule standards (e.g., RuleML, LegalRuleML, Reaction RuleML, SWRL, RIF, Common Logic, PRR, Decision Model and Notation (DMN), SBVR); rule-based event processing languages (EPLs) and technologies; and research on inference rules, constraint handling rules, transformation rules, decision rules, production rules, and ECA rules. RuleML+RR is the leading conference to build bridges between academia and industry in the field of Web rules and its applications, especially as part of the semantic technology stack. RuleML+RR is commonly listed together with other Artificial Intelligence conferences worldwide.",https://en.wikipedia.org/wiki/RuleML_Symposium
Book sources,This page allows users to search for multiple sources for a book given the 10- or 13-digit ISBN number. Spaces and dashes in the ISBN number do not matter.,https://en.wikipedia.org/wiki/Special:BookSources/978-0-262-01825-8
Stochastic tunneling,"In numerical analysis, stochastic tunneling (STUN) is an approach to global optimization based on the Monte Carlo method-sampling of the function to be objective minimized in which the function is nonlinearly transformed to allow for easier tunneling among regions containing function minima. Easier tunneling allows for faster exploration of sample space and faster convergence to a good solution.",https://en.wikipedia.org/wiki/Stochastic_tunneling
Joseph Nechvatal,"Joseph James Nechvatal (born January 15, 1951)  is an American post-conceptual digital artist and art theoretician who creates computer-assisted paintings and computer animations, often using custom-created computer viruses.",https://en.wikipedia.org/wiki/Joseph_Nechvatal
Toeplitz matrix,"In linear algebra, a Toeplitz matrix or diagonal-constant matrix, named after Otto Toeplitz, is a matrix in which each descending diagonal from left to right is constant.",https://en.wikipedia.org/wiki/Toeplitz_matrix
Additive smoothing,"In statistics, additive smoothing, also called Laplace smoothing (not to be confused with Laplacian smoothing as used in image processing), or Lidstone smoothing, is a technique used to smooth categorical data.",https://en.wikipedia.org/wiki/Additive_smoothing
Apprenticeship learning,"In artificial intelligence, apprenticeship learning (or learning from demonstration) is the process of learning by observing an expert. It can be viewed as a form of supervised learning, where the training dataset consists of task executions by a demonstration teacher.",https://en.wikipedia.org/wiki/Apprenticeship_learning
Discriminative model,"Discriminative models, also referred to as conditional models, are a class of models used in statistical classification, especially in supervised machine learning. A discriminative classifier tries to model by just depending on the observed data while learning how to do the classification from the given statistics.",https://en.wikipedia.org/wiki/Discriminative_model
Varimax rotation,"In statistics, a varimax rotation is used to simplify the expression of a particular sub-space in terms of just a few major items each.  The actual coordinate system is unchanged, it is the orthogonal basis that is being rotated to align with those coordinates.  The sub-space found with principal component analysis or factor analysis is expressed as a dense basis with many non-zero weights which makes it hard to interpret.  Varimax is so called because it maximizes the sum of the variances of the squared loadings (squared correlations between variables and factors). Preserving orthogonality requires that it is a rotation that leaves the sub-space invariant. Intuitively, this is achieved if, (a) any given variable has a high loading on a single factor but near-zero loadings on the remaining factors and if (b) any given factor is constituted by only a few variables with very high loadings on this factor while the remaining variables have near-zero loadings on this factor.  If these conditions hold, the factor loading matrix is said to have ""simple structure,"" and varimax rotation brings the loading matrix closer to such simple structure (as much as the data allow).  From the perspective of individuals measured on the variables, varimax seeks a basis that most economically represents each individual—that is, each individual can be well described by a linear combination of only a few basis functions.",https://en.wikipedia.org/wiki/Varimax_rotation
Neural Engineering Object,"Neural Engineering Object (Nengo) is a graphical and scripting software for simulating large-scale neural systems. As Neural network software Nengo is a tool for modelling neural networks with applications in cognitive science, psychology, Artificial Intelligence and neuroscience.",https://en.wikipedia.org/wiki/Neural_Engineering_Object
Blowfish (cipher),"Blowfish is a symmetric-key block cipher, designed in 1993 by Bruce Schneier and included in many cipher suites and encryption products. Blowfish provides a good encryption rate in software and no effective cryptanalysis of it has been found to date. However, the Advanced Encryption Standard (AES) now receives more attention, and Schneier recommends Twofish for modern applications.",https://en.wikipedia.org/wiki/Blowfish_(cipher)
Gosper's algorithm,"In mathematics, Gosper's algorithm, due to Bill Gosper, is a procedure for finding sums of hypergeometric terms that are themselves hypergeometric terms. That is: suppose one has a(1) + ... + a(n) = S(n) − S(0), where S(n) is a hypergeometric term (i.e., S(n + 1)/S(n) is a rational function of n); then necessarily a(n) is itself a hypergeometric term, and given the formula for a(n) Gosper's algorithm finds that for S(n).",https://en.wikipedia.org/wiki/Gosper%27s_algorithm
Run-length encoding,"Run-length encoding (RLE) is a form of lossless data compression in which runs of data (sequences in which the same data value occurs in many consecutive data elements) are stored as a single data value and count, rather than as the original run.  This is most useful on data that contains many such runs. Consider, for example, simple graphic images such as icons, line drawings, Conway’s Game of Life, and animations. It is not useful with files that don't have many runs as it could greatly increase the file size.",https://en.wikipedia.org/wiki/Run-length_encoding
Conjugate gradient method,"In mathematics, the conjugate gradient method is an algorithm for the numerical solution of particular systems of linear equations, namely those whose matrix is symmetric and positive-definite. The conjugate gradient method is often implemented as an iterative algorithm, applicable to sparse systems that are too large to be handled by a direct implementation or other direct methods such as the Cholesky decomposition. Large sparse systems often arise when numerically solving partial differential equations or optimization problems.",https://en.wikipedia.org/wiki/Conjugate_gradient
Robert Tibshirani,"Robert Tibshirani FRS FRSC (born July 10, 1956) is a Professor in the Departments of Statistics and Biomedical Data Science at Stanford University. He was a Professor at the University of Toronto from 1985 to 1998. In his work, he develops statistical tools for the analysis of complex datasets, most recently in genomics and proteomics.",https://en.wikipedia.org/wiki/Robert_Tibshirani
Developmental robotics,"Developmental robotics (DevRob), sometimes called epigenetic robotics, is a scientific field which aims at studying the developmental mechanisms, architectures and constraints that allow lifelong and open-ended learning of new skills and new knowledge in embodied machines. As in human children, learning is expected to be cumulative and of progressively increasing complexity, and to result from self-exploration of the world in combination with social interaction. The typical methodological approach consists in starting from theories of human and animal development elaborated in fields such as developmental psychology, neuroscience, developmental and evolutionary biology, and linguistics, then to formalize and implement them in robots, sometimes exploring extensions or variants of them. The experimentation of those models in robots allows researchers to confront them with reality, and as a consequence, developmental robotics also provides feedback and novel hypotheses on theories of human and animal development.",https://en.wikipedia.org/wiki/Developmental_robotics
Ant colony optimization algorithms,"In computer science and operations research, the ant colony optimization algorithm (ACO) is a probabilistic technique for solving computational problems which can be reduced to finding good paths through graphs. Artificial Ants stand for multi-agent methods inspired by the behavior of real ants. The pheromone-based communication of biological ants is often the predominant paradigm used.   Combinations of Artificial Ants and local search algorithms have become a method of choice for numerous optimization tasks involving some sort of graph, e.g., vehicle routing and internet routing. The burgeoning activity in this field has led to conferences dedicated solely to Artificial Ants, and to numerous commercial applications by specialized companies such as AntOptima.",https://en.wikipedia.org/wiki/Artificial_ants
Cone tracing,"Cone tracing and beam tracing are a derivative of the ray tracing algorithm that replaces rays, which have no thickness, with thick rays.",https://en.wikipedia.org/wiki/Cone_tracing
Exponential backoff,"Exponential backoff is an algorithm that uses feedback to multiplicatively decrease the rate of some process, in order to gradually find an acceptable rate.",https://en.wikipedia.org/wiki/Truncated_binary_exponential_backoff
Evolutionary algorithm,"In artificial intelligence (AI), an evolutionary algorithm (EA) is a subset of evolutionary computation, a generic population-based metaheuristic optimization algorithm. An EA uses mechanisms inspired by biological evolution, such as reproduction, mutation, recombination, and selection. Candidate solutions to the optimization problem play the role of individuals in a population, and the fitness function determines the quality of the solutions (see also loss function). Evolution of the population then takes place after the repeated application of the above operators.",https://en.wikipedia.org/wiki/Evolutionary_algorithm
Nearest neighbour algorithm,"The nearest neighbour algorithm was one of the first algorithms used to solve the travelling salesman problem approximately. In that problem, the salesman starts at a random city and repeatedly visits the nearest city until all have been visited. The algorithm quickly yields a short tour, but usually not the optimal one.",https://en.wikipedia.org/wiki/Nearest_neighbour_algorithm
Feature (machine learning),"In machine learning and pattern recognition, a feature is an individual measurable property or characteristic of a phenomenon being observed. Choosing informative, discriminating and independent features is a crucial step for effective algorithms in pattern recognition,  classification and regression. Features are usually numeric, but structural features such as strings and graphs are used in syntactic pattern recognition.The concept of ""feature"" is related to that of explanatory variable used in statistical techniques such as linear regression.",https://en.wikipedia.org/wiki/Feature_(machine_learning)
Weka (machine learning),"Waikato Environment for Knowledge Analysis (Weka), developed at the University of Waikato, New Zealand. It is free software licensed under the GNU General Public License, and the companion software to the book ""Data Mining: Practical Machine Learning Tools and Techniques"".",https://en.wikipedia.org/wiki/Weka_(machine_learning)
Conjunctive normal form,"In Boolean logic, a formula is in conjunctive normal form (CNF) or clausal normal form if it is a conjunction of one or more clauses, where a clause is a disjunction of literals; otherwise put, it is an AND of ORs. As a canonical normal form, it is useful in automated theorem proving and circuit theory.",https://en.wikipedia.org/wiki/Conjunctive_normal_form
Search engine optimization,,https://en.wikipedia.org/wiki/Search_engine_optimization
Rete algorithm,"The Rete algorithm (/ˈriːtiː/ REE-tee, /ˈreɪtiː/ RAY-tee, rarely /ˈriːt/ REET, /rɛˈteɪ/ reh-TAY) is a pattern matching algorithm for implementing rule-based systems. The algorithm was developed to efficiently apply many rules or patterns to many objects, or facts, in a knowledge base. It is used to determine which of the system's rules should fire based on its data store, its facts. The Rete algorithm was designed by Charles L. Forgy of Carnegie Mellon University, first published in a working paper in 1974, and later elaborated in his 1979 Ph.D. thesis and a 1982 paper .",https://en.wikipedia.org/wiki/Rete_algorithm
Help:IPA/French,"The charts below show the way in which the International Phonetic Alphabet (IPA) represents French language pronunciations in Wikipedia articles. For a guide to adding IPA characters to Wikipedia articles, see {{IPA-fr}}, {{IPAc-fr}} and Wikipedia:Manual of Style/Pronunciation § Entering IPA characters.",https://en.wikipedia.org/wiki/Help:IPA/French
Blum Blum Shub,"Blum Blum Shub (B.B.S.) is a pseudorandom number generator proposed in 1986 by Lenore Blum, Manuel Blum and Michael Shub that is derived from Michael O. Rabin's one-way function.",https://en.wikipedia.org/wiki/Blum_Blum_Shub
Artificial neural network,Topics,https://en.wikipedia.org/wiki/Artificial_neural_network
Melomics,"Melomics (derived from ""genomics of melodies"") is a computational system for the automatic composition of music (with no human intervention), based on bioinspired algorithms.",https://en.wikipedia.org/wiki/Melomics
Medoid,"Medoids are representative objects of a data set or a cluster with a data set whose average dissimilarity to all the objects in the cluster is minimal. Medoids are similar in concept to means or centroids, but medoids are always restricted to be members of the data set. Medoids are most commonly used on data when a mean or centroid cannot be defined, such as graphs. They are also used in contexts where the centroid is not representative of the dataset like in images and 3-D trajectories and  gene expression  (where while the data is sparse the medoid need not be).  These are also of interest while wanting to find a representative using some distance other than squared euclidean distance (for instance in movie-ratings).",https://en.wikipedia.org/wiki/Medoid
Lax–Wendroff method,"The Lax–Wendroff method, named after Peter Lax and Burton Wendroff, is a numerical method for the solution of hyperbolic partial differential equations, based on finite differences. It is second-order accurate in both space and time. This method is an example of explicit time integration where the function that defines the governing equation is evaluated at the current time.",https://en.wikipedia.org/wiki/Lax%E2%80%93Wendroff_method
Diffie–Hellman key exchange,Diffie–Hellman key exchange[nb 1] is a method of securely exchanging cryptographic keys over a public channel and was one of the first public-key protocols as originally conceptualized by Ralph Merkle and named after Whitfield Diffie and Martin Hellman. DH is one of the earliest practical examples of public key exchange implemented within the field of cryptography.,https://en.wikipedia.org/wiki/Diffie%E2%80%93Hellman_key_exchange
Exponential function,,https://en.wikipedia.org/wiki/Exponential_function
Ben Taskar,"Ben Taskar (March 3, 1977 – November 18, 2013) was a professor and researcher in the area of machine learning and applications to computational linguistics and computer vision.  He was a Magerman Term Associate Professor for Computer and Information Science at University of Pennsylvania. He co-directed PRiML: Penn Research in Machine Learning, a joint venture between the School of Engineering and Wharton. He was also a Distinguished Research Fellow at the Annenberg Center for Public Policy. At the University of Washington, he held the Boeing Professorship.",https://en.wikipedia.org/wiki/Ben_Taskar
Crossover (genetic algorithm),"In genetic algorithms and evolutionary computation, crossover, also called recombination, is a genetic operator used to combine the genetic information of two parents to generate new offspring. It is one way to stochastically generate new solutions from an existing population, and analogous to the crossover that happens during sexual reproduction in biology. Solutions can also be generated by cloning an existing solution, which is analogous to asexual reproduction. Newly generated solutions are typically mutated before being added to the population.",https://en.wikipedia.org/wiki/Crossover_(genetic_algorithm)
Linkurious,Linkurious is a French software company that provides social network analysis primarily through graph visualization.,https://en.wikipedia.org/wiki/Linkurious
